maps_played,rounds_played,kd_difference,kd_ratio,rating,total_kills,headshot_percentage,total_deaths,grenade_damage_per_round,kills_per_round,assists_per_round,deaths_per_round,teammate_saved_per_round,saved_by_teammate_per_round,kast,impact,efficiency
747,19299,925,1.07,1.05,13698,51.4,12773,6.2,0.71,0.15,0.66,0.12,0.14,72.6,1.06,1.0757575757575757
1443,38127,2478,1.1,1.05,26511,27.6,24033,4.6,0.7,0.11,0.63,0.09,0.08,70.4,1.12,1.111111111111111
771,20216,1111,1.08,1.04,14338,46.0,13227,4.6,0.71,0.13,0.65,0.08,0.09,71.1,1.06,1.0923076923076922
989,25205,1445,1.09,1.04,17507,39.7,16062,3.7,0.69,0.15,0.64,0.09,0.08,71.9,1.08,1.078125
926,23830,1348,1.09,1.04,16750,53.1,15402,5.2,0.7,0.15,0.65,0.11,0.12,72.9,1.1,1.0769230769230769
374,9836,558,1.09,1.04,6902,25.5,6344,3.6,0.7,0.1,0.64,0.1,0.1,69.6,1.11,1.09375
1519,39947,2110,1.08,1.04,28410,52.9,26300,3.9,0.71,0.14,0.66,0.09,0.1,70.1,1.1,1.0757575757575757
547,14615,806,1.09,1.04,10077,35.3,9271,5.4,0.69,0.11,0.63,0.08,0.09,69.8,1.11,1.0952380952380951
689,18214,641,1.05,1.04,13083,49.0,12442,5.3,0.72,0.15,0.68,0.11,0.13,71.6,1.14,1.0588235294117645
1049,28055,829,1.04,1.04,20194,50.8,19365,4.2,0.72,0.13,0.69,0.08,0.07,68.4,1.16,1.0434782608695652
1249,32934,1838,1.09,1.04,23087,32.5,21249,3.2,0.7,0.12,0.65,0.09,0.09,69.8,1.08,1.0769230769230769
618,15666,667,1.06,1.04,11142,41.0,10475,3.4,0.71,0.16,0.67,0.11,0.1,72.0,1.11,1.0597014925373134
809,21729,1329,1.1,1.04,15139,26.1,13810,3.9,0.7,0.11,0.64,0.08,0.09,69.7,1.11,1.09375
874,22423,1183,1.08,1.04,15892,41.7,14709,5.8,0.71,0.16,0.66,0.08,0.08,71.1,1.11,1.0757575757575757
1280,33769,1105,1.05,1.04,24647,51.6,23542,3.7,0.73,0.14,0.7,0.11,0.11,70.4,1.16,1.042857142857143
403,10328,461,1.07,1.04,7287,43.3,6826,4.5,0.71,0.13,0.66,0.11,0.1,71.4,1.06,1.0757575757575757
937,24398,1532,1.1,1.04,16611,53.9,15079,5.0,0.68,0.14,0.62,0.1,0.11,71.8,0.9,1.0967741935483872
398,10155,309,1.04,1.04,7345,56.4,7036,3.3,0.72,0.13,0.69,0.11,0.11,71.6,1.17,1.0434782608695652
2103,55469,2796,1.08,1.04,39086,36.5,36290,4.4,0.7,0.13,0.65,0.08,0.08,69.0,1.07,1.0769230769230769
607,15652,890,1.09,1.04,10950,45.5,10060,4.2,0.7,0.13,0.64,0.09,0.11,71.6,1.05,1.09375
434,11721,670,1.09,1.04,8079,40.5,7409,2.8,0.69,0.09,0.63,0.09,0.1,69.7,1.05,1.0952380952380951
540,13851,845,1.1,1.04,9678,31.1,8833,4.5,0.7,0.14,0.64,0.12,0.12,72.5,1.09,1.09375
906,23901,867,1.05,1.04,17181,51.0,16314,3.1,0.72,0.11,0.68,0.11,0.12,70.6,1.1,1.0588235294117645
644,16496,853,1.08,1.04,11678,49.7,10825,6.0,0.71,0.16,0.66,0.09,0.09,72.0,1.08,1.0757575757575757
603,16095,279,1.02,1.04,11800,50.9,11512,4.4,0.73,0.13,0.71,0.1,0.09,68.8,1.28,1.028169014084507
1683,44551,1772,1.06,1.04,31654,41.3,29882,4.9,0.71,0.14,0.67,0.09,0.09,69.8,1.1,1.0597014925373134
817,21619,963,1.07,1.04,15534,50.8,14571,5.4,0.72,0.14,0.67,0.09,0.1,70.0,1.11,1.0746268656716418
1240,32769,1988,1.1,1.04,22339,47.9,20351,3.5,0.68,0.12,0.62,0.08,0.09,72.0,1.03,1.0967741935483872
556,15093,700,1.07,1.04,10697,33.2,9997,3.4,0.71,0.1,0.66,0.09,0.09,68.8,1.09,1.0757575757575757
835,21741,1036,1.07,1.04,15394,50.7,14358,3.0,0.71,0.13,0.66,0.1,0.12,71.2,1.02,1.0757575757575757
708,17977,699,1.06,1.04,12939,52.0,12240,3.5,0.72,0.15,0.68,0.11,0.11,70.7,1.11,1.0588235294117645
498,12821,637,1.08,1.04,9085,47.3,8448,2.8,0.71,0.12,0.66,0.1,0.11,72.1,0.99,1.0757575757575757
652,17364,430,1.04,1.04,12632,51.5,12202,5.4,0.73,0.14,0.7,0.09,0.1,68.7,1.18,1.042857142857143
1180,31516,1508,1.07,1.03,21748,41.5,20240,6.5,0.69,0.14,0.64,0.1,0.1,71.5,1.06,1.078125
774,20539,1009,1.08,1.03,14255,39.7,13246,7.6,0.69,0.14,0.64,0.07,0.08,69.9,1.07,1.078125
